Date,Index,DJIA
2010-08-30,93.700085,94.574526
2010-08-31,94.097071,94.621673
2010-09-01,97.750363,97.028617
2010-09-02,98.332667,97.506982
2010-09-03,100.392031,98.714753
2010-09-07,98.82068,97.701522
2010-09-08,99.907243,98.139165
2010-09-09,100.389493,98.40589
2010-09-10,100.892891,98.854965
2010-09-13,102.233055,99.623676
2010-09-14,102.770854,99.457009
2010-09-15,103.351406,99.893896
2010-09-16,104.215416,100.102703
2010-09-17,103.740994,100.225719
2010-09-20,105.60134,101.602992
2010-09-21,105.779273,101.673003
2010-09-22,106.399749,101.467787
2010-09-23,105.927216,100.74131
2010-09-24,108.3772,102.610554
2010-09-27,107.786113,102.154959
2010-09-28,107.905055,102.590524
2010-09-29,107.528718,102.374537
2010-09-30,106.893975,101.928295
2010-10-01,107.293116,102.321626
2010-10-04,106.272267,101.580788
2010-10-05,109.51401,103.408554
2010-10-06,109.636027,103.625203
2010-10-07,109.705679,103.445024
2010-10-08,110.796885,103.992079
2010-10-11,110.690851,104.028549
2010-10-12,111.299929,104.123598
2010-10-13,112.634597,104.838643
2010-10-14,113.528729,104.824376
2010-10-15,115.666105,104.524016
2010-10-18,116.139078,105.288474
2010-10-19,113.47477,103.72885
2010-10-20,114.94455,104.950982
2010-10-21,115.030809,105.315685
2010-10-22,115.156226,105.183315
2010-10-25,115.649781,105.480841
2010-10-26,115.540785,105.531956
2010-10-27,114.85924,105.12398
2010-10-28,115.080151,105.007483
2010-10-29,114.504582,105.050378
2010-11-01,114.45538,105.108296
2010-11-02,116.450421,105.713929
2010-11-03,116.674938,105.963458
2010-11-04,118.735073,108.039335
2010-11-05,118.682602,108.126637
2010-11-08,118.311566,107.774784
2010-11-09,117.28898,107.207038
2010-11-10,117.528079,107.30426
2010-11-11,116.977726,106.605656
2010-11-12,114.952026,105.7504
2010-11-15,114.365015,105.839119
2010-11-16,112.0044,104.152888
2010-11-17,111.825878,104.005306
2010-11-18,114.849045,105.643162
2010-11-19,114.843664,105.854047
2010-11-22,115.039642,105.618124
2010-11-23,112.314645,104.274487
2010-11-24,114.383745,105.700324
2010-11-26,113.347624,104.800094
2010-11-29,113.257902,104.426793
2010-11-30,111.582232,103.987732
2010-12-01,114.285708,106.34753
2010-12-02,115.786562,107.354998
2010-12-03,116.117722,107.540939
2010-12-06,116.34552,107.352919
2010-12-07,115.964062,107.324291
2010-12-08,116.37959,107.450142
2010-12-09,116.522562,107.427277
2010-12-10,116.967467,107.807664
2010-12-13,117.575645,107.98
2010-12-14,117.400604,108.433327
2010-12-15,116.363327,108.253149
2010-12-16,116.785932,108.647897
2010-12-17,116.332694,108.578547
2010-12-20,116.963528,108.44835
2010-12-21,118.055957,108.968288
2010-12-22,118.182339,109.217061
2010-12-23,117.538626,109.349336
2010-12-27,117.419234,109.174921
2010-12-28,117.409231,109.368705
2010-12-29,117.817184,109.461676
2010-12-30,117.592774,109.313622
2010-12-31,117.488201,109.387318
2011-01-03,118.793694,110.268274
2011-01-04,119.203176,110.461302
2011-01-05,119.205926,110.760906
2011-01-06,118.344652,110.51922
2011-01-07,118.255082,110.306161
2011-01-10,118.76367,109.953647
2011-01-11,119.02076,110.27895
2011-01-12,120.937243,111.068447
2011-01-13,121.472204,110.846035
2011-01-14,122.415919,111.370224
2011-01-18,122.339229,111.847834
2011-01-19,120.804648,111.728408
2011-01-20,119.523731,111.704882
2011-01-21,118.901277,112.168224
2011-01-24,121.133653,113.195061
2011-01-25,120.649776,113.163599
2011-01-26,121.433248,113.241547
2011-01-27,122.221087,113.283025
2011-01-28,118.637585,111.713385
2011-01-31,119.807315,112.35804
2011-02-01,121.994173,113.758555
2011-02-02,122.506411,113.775657
2011-02-03,122.6394,113.967362
2011-02-04,122.929486,114.24977
2011-02-07,123.915326,114.906235
2011-02-08,125.677551,115.581975
2011-02-09,125.601999,115.645656
2011-02-10,124.684184,115.545505
2011-02-11,125.273611,115.960945
2011-02-14,125.909899,115.913042
2011-02-15,125.22567,115.520467
2011-02-16,125.745522,116.101818
2011-02-17,125.224976,116.384983
2011-02-18,123.957829,117.075745
2011-02-22,120.439578,115.389608
2011-02-23,119.959207,114.37855
2011-02-24,120.367638,114.026319
2011-02-25,121.813485,114.611639
2011-02-28,122.638649,115.517632
2011-03-01,120.889336,113.927301
2011-03-02,121.540294,114.010257
2011-03-03,123.483457,115.818654
2011-03-04,122.757213,114.984184
2011-03-07,121.142052,114.22974
2011-03-08,121.204793,115.404631
2011-03-09,120.780799,115.392443
2011-03-10,118.417114,113.233705
2011-03-11,119.82711,113.798616
2011-03-14,119.632947,113.314487
2011-03-15,117.634569,112.013084
2011-03-16,114.268758,109.725471
2011-03-17,116.225331,111.249381
2011-03-18,116.357705,112.042374
2011-03-21,118.731381,113.724258
2011-03-22,118.42322,113.555134
2011-03-23,118.562626,114.191853
2011-03-24,120.44977,114.990608
2011-03-25,120.786901,115.463305
2011-03-28,120.748699,115.248735
2011-03-29,121.910949,116.015272
2011-03-30,122.736162,116.691768
2011-03-31,122.514684,116.400005
2011-04-01,122.618264,116.938462
2011-04-04,122.957208,117.158701
2011-04-05,122.638148,117.100783
2011-04-06,122.933223,117.411158
2011-04-07,123.00339,117.248081
2011-04-08,123.090423,116.969924
2011-04-11,122.593543,116.979939
2011-04-12,121.918182,115.869486
2011-04-13,122.324205,115.939497
2011-04-14,121.499408,116.073284
2011-04-15,120.523202,116.608812
2011-04-18,119.667825,115.283788
2011-04-19,120.607475,115.899437
2011-04-20,122.749658,117.664277
2011-04-21,124.101855,118.159838
2011-04-25,124.231353,117.913144
2011-04-26,124.341104,119.004324
2011-04-27,125.880421,119.907483
2011-04-28,125.571982,120.591064
2011-04-29,126.043551,121.037306
2011-05-02,125.872305,121.00726
2011-05-03,124.582149,121.008677
2011-05-04,124.25202,120.215685
2011-05-05,122.272816,118.898503
2011-05-06,122.335025,119.414095
2011-05-09,123.180727,119.848148
2011-05-10,124.093052,120.563192
2011-05-11,122.924225,119.3318
2011-05-12,122.830799,119.954346
2011-05-13,121.220301,119.007914
2011-05-16,119.600455,118.560255
2011-05-17,120.421771,117.91031
2011-05-18,121.464884,118.671839
2011-05-19,121.680969,119.098334
2011-05-20,120.035874,118.217
2011-05-23,118.936685,116.981357
2011-05-24,118.733002,116.744678
2011-05-25,119.565259,117.107963
2011-05-26,120.074069,117.184494
2011-05-27,120.716835,117.551276
2011-05-31,123.016229,118.762637
2011-06-01,121.08242,116.120431
2011-06-02,121.238876,115.727478
2011-06-03,120.019052,114.808257
2011-06-06,118.557353,114.229079
2011-06-07,118.637489,114.048145
2011-06-08,117.96793,113.841511
2011-06-09,118.70401,114.554099
2011-06-10,116.594437,112.924747
2011-06-13,116.833104,112.934762
2011-06-14,118.717456,114.09822
2011-06-15,116.029573,112.408494
2011-06-16,115.640066,113.015544
2011-06-17,116.17074,113.420308
2011-06-20,115.772959,114.138564
2011-06-21,118.630122,115.174377
2011-06-22,117.945867,114.415304
2011-06-23,118.527322,113.851526
2011-06-24,117.271652,112.761008
2011-06-27,119.043108,113.790679
2011-06-28,120.2855,115.161905
2011-06-29,121.500633,115.849077
2011-06-30,122.638477,117.293905
2011-07-01,124.855055,118.885275
2011-07-05,124.84645,118.763393
2011-07-06,124.979353,119.293913
2011-07-07,126.434795,120.177041
2011-07-08,125.796705,119.588509
2011-07-11,122.94807,118.157665
2011-07-12,122.254999,117.601351
2011-07-13,123.556473,118.023972
2011-07-14,122.942174,117.509136
2011-07-15,123.756386,117.911727
